subject,grasp,acc,mean
1,1,"[0.7642857142857142, 0.7967313585291114, 0.8346938775510204, 0.7224489795918367, 0.8122448979591836]",0.7860809655833733
1,2,"[0.8846938775510204, 0.8173469387755102, 0.9061224489795918, 0.8173469387755102, 0.8346938775510204]",0.8520408163265305
1,3,"[0.7346938775510204, 0.6061224489795919, 0.7489795918367347, 0.8377551020408164, 0.6051020408163266]",0.706530612244898
1,4,"[0.9091836734693878, 0.9316326530612244, 0.926530612244898, 0.8989795918367347, 0.8408163265306122]",0.9014285714285715
1,5,"[0.9306122448979591, 0.9561224489795919, 0.9142857142857143, 0.9142857142857143, 0.8928571428571429]",0.9216326530612244
1,6,"[0.673469387755102, 0.7979591836734694, 0.8489795918367347, 0.8653061224489796, 0.8112244897959183]",0.7993877551020409
2,1,"[0.6142857142857143, 0.6683673469387755, 0.5316326530612245, 0.5693877551020409, 0.5229357798165137]",0.5813218498408539
2,2,"[0.6653061224489796, 0.6959183673469388, 0.5336734693877551, 0.6683673469387755, 0.6020408163265306]",0.633061224489796
2,3,"[0.6673469387755102, 0.6469387755102041, 0.6683673469387755, 0.5985699693564862, 0.5673469387755102]",0.6297139938712972
2,4,"[0.636734693877551, 0.6683673469387755, 0.6979591836734694, 0.7122448979591837, 0.6948979591836735]",0.6820408163265306
2,5,"[0.6846938775510204, 0.7081632653061225, 0.7020408163265306, 0.7489795918367347, 0.6513761467889908]",0.6990507395618797
2,6,"[0.3989795918367347, 0.43425076452599387, 0.4448979591836735, 0.39285714285714285, 0.3826530612244898]",0.4107277039256069
3,1,"[0.8306122448979592, 0.8530612244897959, 0.8683673469387755, 0.7642857142857142, 0.8397959183673469]",0.8312244897959185
3,2,"[0.8193877551020409, 0.8071428571428572, 0.8357142857142857, 0.8306122448979592, 0.7704081632653061]",0.8126530612244899
3,3,"[0.7091836734693877, 0.7846938775510204, 0.736734693877551, 0.710204081632653, 0.6020408163265306]",0.7085714285714285
3,4,"[0.9357142857142857, 0.8571428571428571, 0.9071428571428571, 0.7857142857142857, 0.8183673469387756]",0.8608163265306121
3,5,"[0.8173469387755102, 0.7744897959183673, 0.7428571428571429, 0.763265306122449, 0.7030612244897959]",0.7602040816326532
3,6,"[0.6224489795918368, 0.6632653061224489, 0.7183673469387755, 0.7377551020408163, 0.7510204081632653]",0.6985714285714285
4,1,"[0.886734693877551, 0.836901121304791, 0.8959183673469387, 0.9459183673469388, 0.8091836734693878]",0.8749312446691213
4,2,"[0.8397959183673469, 0.8561224489795919, 0.8520408163265306, 0.8255102040816327, 0.8591836734693877]",0.8465306122448979
4,3,"[0.8051020408163265, 0.6697247706422018, 0.8173469387755102, 0.7755102040816326, 0.7604485219164119]",0.7656264952464167
4,4,"[0.9214285714285714, 0.7928571428571428, 0.9010204081632653, 0.9122448979591836, 0.7561224489795918]",0.856734693877551
4,5,"[0.9326530612244898, 0.9214285714285714, 0.9122448979591836, 0.9153061224489796, 0.860204081632653]",0.9083673469387754
4,6,"[0.6142857142857143, 0.7010204081632653, 0.7125382262996942, 0.6173469387755102, 0.6214285714285714]",0.653323971790551
5,1,"[0.7908163265306123, 0.7918367346938775, 0.7581632653061224, 0.6846938775510204, 0.7612244897959184]",0.7573469387755102
5,2,"[0.8581632653061224, 0.7979591836734694, 0.8755102040816326, 0.8316326530612245, 0.8030612244897959]",0.8332653061224489
5,3,"[0.8673469387755102, 0.8010204081632653, 0.8275510204081633, 0.8918367346938776, 0.8469387755102041]",0.846938775510204
5,4,"[0.8785714285714286, 0.8806122448979592, 0.9285714285714286, 0.8989795918367347, 0.9459183673469388]",0.9065306122448978
5,5,"[0.9010204081632653, 0.8857142857142857, 0.8806122448979592, 0.9214285714285714, 0.863265306122449]",0.890408163265306
5,6,"[0.6153061224489796, 0.8040816326530612, 0.8287461773700305, 0.8255102040816327, 0.7714285714285715]",0.7690145415964551
6,1,"[0.7408163265306122, 0.9275510204081633, 0.9051987767584098, 0.8714285714285714, 0.9163265306122449]",0.8722642451476004
6,2,"[0.8010204081632653, 0.9010204081632653, 0.8438775510204082, 0.7275510204081632, 0.810204081632653]",0.816734693877551
6,3,"[0.7857142857142857, 0.6163265306122448, 0.7112244897959183, 0.669050051072523, 0.5938775510204082]",0.6752385816430759
6,4,"[0.7336734693877551, 0.8776758409785933, 0.8622448979591837, 0.8, 0.7836734693877551]",0.8114535355426573
6,5,"[0.7030612244897959, 0.7479591836734694, 0.8326530612244898, 0.6551020408163265, 0.8153061224489796]",0.7508163265306121
6,6,"[0.713265306122449, 0.8224489795918367, 0.85, 0.8306122448979592, 0.7795918367346939]",0.7991836734693878
7,1,"[0.7836734693877551, 0.6918367346938775, 0.7969387755102041, 0.6704081632653062, 0.736734693877551]",0.7359183673469388
7,2,"[0.6469387755102041, 0.7, 0.6612244897959184, 0.8030612244897959, 0.689795918367347]",0.7002040816326531
7,3,"[0.7316326530612245, 0.746938775510204, 0.7816326530612245, 0.7653061224489796, 0.673469387755102]",0.739795918367347
7,4,"[0.9030612244897959, 0.8244897959183674, 0.8580183861082737, 0.8795918367346939, 0.8418367346938775]",0.8613995955890017
7,5,"[0.8061224489795918, 0.9081632653061225, 0.8448979591836735, 0.8112244897959183, 0.8142857142857143]",0.8369387755102041
7,6,"[0.8153061224489796, 0.8590398365679265, 0.8326530612244898, 0.8183673469387756, 0.6612244897959184]",0.797318171395218
8,1,"[0.8306122448979592, 0.7940876656472987, 0.9081632653061225, 0.8448979591836735, 0.8418367346938775]",0.8439195739457862
