subject,source,target,acc,mean,std
1,2,2,"[0.9710884353741497, 0.9821428571428571, 0.9685374149659864, 0.9770408163265306, 0.9710884353741497]",0.9739795918367348,0.004946612099404385
1,2,4,"[0.9226190476190477, 0.8937074829931972, 0.9455782312925171, 0.9251700680272109, 0.9311224489795918]",0.9236394557823129,0.01695058736321492
1,2,5,"[0.9795918367346939, 0.9855442176870748, 0.9693877551020408, 0.9600340136054422, 0.967687074829932]",0.9724489795918367,0.009040839360545574
1,2,6,"[0.9719387755102041, 0.9276595744680851, 0.9549319727891157, 0.9702380952380952, 0.9608843537414966]",0.9571305543493993,0.015990962872912306
1,2,8,"[0.9617346938775511, 0.9149659863945578, 0.9591836734693877, 0.9566326530612245, 0.95578231292517]",0.9496598639455783,0.017471541287568462
1,4,2,"[0.9719387755102041, 0.9710884353741497, 0.9532312925170068, 0.9668367346938775, 0.9600340136054422]",0.9646258503401361,0.0070859410394556906
1,4,4,"[0.9787414965986394, 0.9804421768707483, 0.967687074829932, 0.9685374149659864, 0.9693877551020408]",0.9729591836734693,0.0054686854390522035
1,4,5,"[0.9719387755102041, 0.9855442176870748, 0.9710884353741497, 0.9617346938775511, 0.9668367346938775]",0.9714285714285715,0.007933267884143242
1,4,6,"[0.9489795918367347, 0.9702127659574468, 0.9294217687074829, 0.9472789115646258, 0.9668367346938775]",0.9525459545520336,0.014775190544412954
1,4,8,"[0.9532312925170068, 0.9387755102040817, 0.9617346938775511, 0.9693877551020408, 0.8928571428571429]",0.9431972789115648,0.02714383746716532
1,5,2,"[0.9608843537414966, 0.9795918367346939, 0.9608843537414966, 0.9447278911564626, 0.9540816326530612]",0.9600340136054422,0.011433834227191558
1,5,4,"[0.8681972789115646, 0.8443877551020408, 0.9098639455782312, 0.8435374149659864, 0.9039115646258503]",0.8739795918367348,0.028352946637767665
1,5,5,"[0.9804421768707483, 0.9889455782312925, 0.9693877551020408, 0.9583333333333334, 0.9702380952380952]",0.9734693877551021,0.010433919489916966
1,5,6,"[0.9702380952380952, 0.9480851063829787, 0.9481292517006803, 0.9685374149659864, 0.9744897959183674]",0.9618959328412217,0.011424244242489884
1,5,8,"[0.9710884353741497, 0.923469387755102, 0.9464285714285714, 0.9617346938775511, 0.9141156462585034]",0.9433673469387754,0.021756746288687002
1,6,2,"[0.9472789115646258, 0.9498299319727891, 0.9549319727891157, 0.8681972789115646, 0.9379251700680272]",0.9316326530612244,0.03219455583949333
1,6,4,"[0.8137755102040817, 0.8180272108843537, 0.8979591836734694, 0.8180272108843537, 0.8435374149659864]",0.838265306122449,0.03165458971646934
1,6,5,"[0.9685374149659864, 0.9778911564625851, 0.9489795918367347, 0.9166666666666666, 0.9523809523809523]",0.952891156462585,0.020964635518687068
1,6,6,"[0.9770408163265306, 0.9744680851063829, 0.95578231292517, 0.9710884353741497, 0.9770408163265306]",0.9710840932117527,0.007956896385757537
