source,target,mean,std
1,1,0.9534412291112025,0.02890349124080858
1,3,0.8900152223166242,0.07661703321457256
1,5,0.9086528430403596,0.05730172200992297
1,7,0.8425076974773699,0.0687530292842178
1,9,0.8491714782769523,0.09061537720800583
3,1,0.8995320507396588,0.053768713034535016
3,3,0.9605885047306943,0.022076883048596986
3,5,0.915413227737994,0.03811336910760652
3,7,0.8334730173394485,0.07793407739493907
3,9,0.9052103562325525,0.03561701892060376
5,1,0.9068020931478284,0.05164774250000569
5,3,0.9038762180743155,0.05689134758490891
5,5,0.9578448392951063,0.023166016547681065
5,7,0.8855120274410336,0.047194103557862244
5,9,0.8997464331951982,0.04910557190605283
7,1,0.8711920361281136,0.06545360199937271
7,3,0.8494150389552593,0.09263717820335828
7,5,0.8970927867748629,0.062110931056396666
7,7,0.9575693230452631,0.02235987169534605
7,9,0.8856961879909143,0.04121230607003574
9,1,0.8793357633059433,0.05090002308642966
9,3,0.9154827648986528,0.05051134398225949
9,5,0.9100132247036452,0.03969554416406457
9,7,0.8778351491283942,0.044206605681082096
9,9,0.96211781654038,0.01976732967780527
