subject,source,target,acc,mean,std
1,1,1,"[0.9770408163265306, 0.9804421768707483, 0.9668367346938775, 0.9821428571428571, 0.9685374149659864]",0.975,0.006216213225339121
1,1,3,"[0.9379251700680272, 0.9387755102040817, 0.9719387755102041, 0.9600340136054422, 0.967687074829932]",0.9552721088435374,0.014336240418848708
1,1,5,"[0.9591836734693877, 0.9693877551020408, 0.9744897959183674, 0.9753401360544217, 0.9702633814783348]",0.9697329484045104,0.005757705635582454
1,1,7,"[0.8125530110262935, 0.826530612244898, 0.8988095238095238, 0.8894557823129252, 0.8521665250637214]",0.8559030908914724,0.033830988568826825
1,1,9,"[0.973661852166525, 0.9175170068027211, 0.9600340136054422, 0.9744897959183674, 0.9591836734693877]",0.9569772683924886,0.02076722473249935
1,3,1,"[0.9659863945578231, 0.9583333333333334, 0.9421768707482994, 0.9651360544217688, 0.935374149659864]",0.9534013605442176,0.012420788868374279
1,3,3,"[0.9778911564625851, 0.9923469387755102, 0.9761904761904762, 0.9744897959183674, 0.9702380952380952]",0.9782312925170068,0.007502294217725421
1,3,5,"[0.9472789115646258, 0.9608843537414966, 0.9625850340136054, 0.9506802721088435, 0.9617672047578589]",0.9566391552372862,0.0063685873849433266
1,3,7,"[0.8278201865988125, 0.8069727891156463, 0.8639455782312925, 0.7865646258503401, 0.8402718776550552]",0.8251150114902293,0.02668383009768911
1,3,9,"[0.9048428207306712, 0.9472789115646258, 0.8724489795918368, 0.891156462585034, 0.8698979591836735]",0.8971250267311683,0.028145410907397892
1,5,1,"[0.9489795918367347, 0.9702380952380952, 0.9464285714285714, 0.951530612244898, 0.9532312925170068]",0.9540816326530613,0.008400740840291472
1,5,3,"[0.951530612244898, 0.9311224489795918, 0.9549319727891157, 0.9702380952380952, 0.9540816326530612]",0.9523809523809523,0.012497396646852947
1,5,5,"[0.95578231292517, 0.9685374149659864, 0.9727891156462585, 0.9744897959183674, 0.9787595581988106]",0.9700716395309186,0.007860323313232071
1,5,7,"[0.8371501272264631, 0.91921768707483, 0.8435374149659864, 0.9209183673469388, 0.8674596431605778]",0.8776566479549592,0.03607707173686451
1,5,9,"[0.9277824978759558, 0.9710884353741497, 0.9319727891156463, 0.9251700680272109, 0.9464285714285714]",0.9404884723643068,0.01697206335966215
1,7,1,"[0.7814625850340136, 0.8239795918367347, 0.7610544217687075, 0.8333333333333334, 0.7806122448979592]",0.7960884353741497,0.027734127395481912
1,7,3,"[0.7508503401360545, 0.6292517006802721, 0.7712585034013606, 0.7210884353741497, 0.7933673469387755]",0.7331632653061224,0.057152473275759445
1,7,5,"[0.7210884353741497, 0.7576530612244898, 0.8460884353741497, 0.7610544217687075, 0.7553101104502974]",0.7682388928383588,0.04150794329200568
1,7,7,"[0.9711620016963528, 0.9812925170068028, 0.9710884353741497, 0.9770408163265306, 0.9847068819031436]",0.9770581304613959,0.0054191387076081825
1,7,9,"[0.8513169073916738, 0.8605442176870748, 0.83078231292517, 0.8350340136054422, 0.8231292517006803]",0.8401613406620083,0.013742314530667463
1,9,1,"[0.9668367346938775, 0.9753401360544217, 0.9532312925170068, 0.9583333333333334, 0.9566326530612245]",0.9620748299319727,0.008005851901999862
1,9,3,"[0.9472789115646258, 0.9217687074829932, 0.9277210884353742, 0.9379251700680272, 0.95578231292517]",0.9380952380952381,0.012420788868374274
1,9,5,"[0.9107142857142857, 0.9651360544217688, 0.9710884353741497, 0.9574829931972789, 0.9779099405267629]",0.9564663418468491,0.0238456775115475
1,9,7,"[0.8829516539440203, 0.8715986394557823, 0.8809523809523809, 0.8460884353741497, 0.8836023789294817]",0.873038697731163,0.0141483204120621
1,9,9,"[0.9779099405267629, 0.9778911564625851, 0.9736394557823129, 0.9710884353741497, 0.9770408163265306]",0.9755139608944683,0.0027137468645528073
2,1,1,"[0.9812925170068028, 0.9770408163265306, 0.9795918367346939, 0.9727891156462585, 0.9931972789115646]",0.98078231292517,0.006836650082395169
2,1,3,"[0.95578231292517, 0.9829931972789115, 0.9625850340136054, 0.9829931972789115, 0.9523809523809523]",0.9673469387755101,0.013190965598411795
2,1,5,"[0.9404761904761905, 0.9489795918367347, 0.9770408163265306, 0.9642857142857143, 0.9719387755102041]",0.9605442176870749,0.013801730316512576
2,1,7,"[0.9608843537414966, 0.983843537414966, 0.9693877551020408, 0.9914965986394558, 0.9812925170068028]",0.9773809523809524,0.010884353741496615
2,1,9,"[0.9540816326530612, 0.9795918367346939, 0.9761904761904762, 0.9591836734693877, 0.9974489795918368]",0.9732993197278912,0.015490200730252665
2,3,1,"[0.9719387755102041, 0.9489795918367347, 0.9549319727891157, 0.935374149659864, 0.9812925170068028]",0.9585034013605442,0.016360155284103724
2,3,3,"[0.9821428571428571, 0.9863945578231292, 0.9872448979591837, 0.9948979591836735, 0.983843537414966]",0.9869047619047621,0.004388941462776878
2,3,5,"[0.939625850340136, 0.9421768707482994, 0.9787414965986394, 0.9583333333333334, 0.9710884353741497]",0.9579931972789115,0.015424710671256087
2,3,7,"[0.9489795918367347, 0.939625850340136, 0.9370748299319728, 0.9863945578231292, 0.9736394557823129]",0.9571428571428571,0.019514148217542267
2,3,9,"[0.9668367346938775, 0.9889455782312925, 0.9693877551020408, 0.9608843537414966, 0.9906462585034014]",0.9753401360544217,0.012133373456963921
2,5,1,"[0.9761904761904762, 0.967687074829932, 0.9770408163265306, 0.9574829931972789, 0.9880952380952381]",0.9732993197278912,0.010226732230185658
2,5,3,"[0.9744897959183674, 0.9863945578231292, 0.9617346938775511, 0.9906462585034014, 0.9846938775510204]",0.9795918367346939,0.010386688084763574
